127.0.0.1 - - [21/Nov/2017:10:54:51 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Nov/2017:10:54:53 +0800] "GET /JspBaseElementDemo/application.jsp HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [21/Nov/2017:10:54:53 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:00:16 +0800] "GET /JspBaseElementDemo/page.jsp HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:12:16 +0800] "GET /JspBaseElementDemo/session_page1.jsp HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:12:24 +0800] "GET /JspBaseElementDemo/pageContext.jsp HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:13:32 +0800] "GET /JspBaseElementDemo/pageContext.jsp HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:17:45 +0800] "GET /JspBaseElementDemo/pageContext.jsp HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:18:05 +0800] "GET /JspBaseElementDemo/pageContext.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:18:15 +0800] "GET /JspBaseElementDemo/session_page1.jsp HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:18:17 +0800] "GET /JspBaseElementDemo/pageContext.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:28:32 +0800] "GET /JspBaseElementDemo/exceptiontest.jsp HTTP/1.1" 500 3033
0:0:0:0:0:0:0:1 - - [21/Nov/2017:11:30:13 +0800] "GET /JspBaseElementDemo/exceptiontest.jsp HTTP/1.1" 500 394
